Country,Date_0,Date_pop_pct,Date_max,Date_first_restriction,Date_restrictions_eased,Date_lockdown,Date_lockdown_eased,Date_lockdown_end,Date_T,Max_number_restrictions
Albania,2020-03-09,2020-03-11,2020-11-15,2020-03-09,2020-06-01,2020-03-11,2020-06-01,2020-11-01,2020-06-29,6
Andorra,2020-03-02,2020-03-03,2020-11-15,2020-03-13,2020-06-02,NA,NA,NA,2020-06-30,5
Austria,2020-02-25,2020-03-01,2020-11-15,2020-03-11,2020-05-01,2020-03-16,2020-04-23,2020-06-03,2020-05-21,6
Belarus,2020-02-28,2020-03-13,2020-11-15,2020-04-04,2020-04-20,NA,NA,NA,2020-05-18,2
Belgium,2020-02-04,2020-03-04,2020-11-15,2020-03-10,2020-06-08,2020-03-14,2020-06-08,2020-07-01,2020-07-06,5
Bosnia and Herzegovina,2020-03-05,2020-03-11,2020-11-15,2020-03-10,2020-05-15,2020-03-17,2020-05-11,2020-07-05,2020-06-08,6
Bulgaria,2020-03-08,2020-03-12,2020-11-15,2020-03-05,2020-05-06,2020-03-18,2020-04-01,2020-05-08,2020-04-29,5
Croatia,2020-02-25,2020-02-29,2020-11-15,2020-03-10,2020-05-25,2020-03-14,2020-05-11,2020-05-25,2020-06-08,6
Czech Republic,2020-03-01,2020-03-06,2020-11-15,2020-03-11,2020-04-02,2020-03-13,2020-04-02,2020-05-25,2020-04-30,5
Denmark,2020-02-27,2020-03-04,2020-11-15,2020-03-03,2020-05-22,NA,NA,NA,2020-06-19,6
Estonia,2020-02-27,2020-03-04,2020-11-15,2020-03-12,2020-05-08,2020-03-16,2020-05-08,2020-05-18,2020-06-05,5
Finland,2020-01-29,2020-03-02,2020-11-15,2020-03-12,2020-05-29,2020-03-27,2020-04-20,2020-05-14,2020-05-18,5
France,2020-01-24,2020-03-01,2020-11-15,2020-02-29,2020-06-22,2020-03-17,2020-05-11,2020-06-22,2020-06-08,6
Germany,2020-01-27,2020-03-02,2020-11-15,2020-02-26,2020-05-06,2020-03-19,2020-05-06,2020-09-04,2020-06-03,5
Greece,2020-02-26,2020-03-06,2020-11-15,2020-02-29,2020-06-01,2020-03-12,2020-05-05,2020-05-30,2020-06-02,6
Hungary,2020-03-04,2020-03-12,2020-11-15,2020-03-11,2020-08-11,2020-03-16,2020-05-04,2020-06-19,2020-06-01,6
Iceland,2020-02-28,2020-02-29,2020-11-15,2020-03-16,2020-05-25,2020-03-16,2020-05-04,2020-05-04,2020-06-01,3
Ireland,2020-02-29,2020-03-05,2020-11-15,2020-03-12,2020-06-05,2020-03-27,2020-05-18,2020-06-26,2020-06-15,6
Italy,2020-01-31,2020-02-23,2020-11-15,2020-02-21,2020-05-04,2020-02-23,2020-05-04,2020-05-04,2020-06-01,6
Latvia,2020-03-02,2020-03-09,2020-11-15,2020-03-13,2020-06-10,2020-03-24,2020-05-12,2020-05-12,2020-06-09,5
Lithuania,2020-02-28,2020-03-12,2020-11-15,2020-03-12,2020-06-17,2020-03-16,2020-04-14,2020-05-30,2020-05-12,6
Luxembourg,2020-02-29,2020-03-01,2020-11-15,2020-03-09,2020-05-25,2020-03-16,2020-04-20,2020-05-11,2020-05-18,6
Moldova,2020-03-08,2020-03-11,2020-11-15,2020-03-10,2020-07-17,2020-03-11,2020-05-16,2020-09-02,2020-06-13,6
Monaco,2020-02-29,2020-03-01,2020-11-15,2020-01-24,2020-04-19,NA,NA,NA,2020-05-17,4
Netherlands,2020-02-27,2020-03-03,2020-11-15,2020-03-06,2020-06-01,2020-03-16,2020-05-11,2020-06-15,2020-06-08,6
Norway,2020-02-26,2020-02-29,2020-11-15,2020-03-10,2020-05-11,2020-03-16,2020-04-20,2020-05-11,2020-05-18,5
Poland,2020-03-04,2020-03-13,2020-11-15,2020-03-10,2020-05-30,2020-03-14,2020-04-09,2020-06-02,2020-05-07,6
Portugal,2020-03-02,2020-03-07,2020-11-15,2020-03-09,2020-07-28,2020-03-19,2020-04-14,2020-08-25,2020-05-12,6
Romania,2020-02-26,2020-03-11,2020-11-15,2020-03-08,2020-05-11,2020-03-12,2020-05-11,2020-06-17,2020-06-08,6
Russia,2020-01-31,2020-03-19,2020-11-15,2020-03-05,2020-08-21,2020-03-05,2020-08-21,NA,2020-09-18,6
San Marino,2020-02-27,2020-02-28,2020-11-15,2020-02-29,2020-05-04,2020-03-15,2020-05-03,2020-06-15,2020-05-31,6
Serbia,2020-03-06,2020-03-12,2020-11-15,2020-03-15,2020-05-17,2020-03-15,2020-05-17,2020-06-06,2020-06-14,6
Slovak Republic,2020-03-06,2020-03-11,2020-11-15,2020-03-06,2020-06-03,2020-03-13,2020-04-14,2020-06-03,2020-05-12,6
Slovenia,2020-03-05,2020-03-07,2020-11-15,2020-03-14,2020-04-30,2020-03-19,2020-04-30,2020-05-18,2020-05-28,6
Spain,2020-02-01,2020-03-02,2020-11-15,2020-03-09,2020-06-08,2020-03-14,2020-05-27,2020-06-08,2020-06-24,6
Sweden,2020-02-01,2020-02-29,2020-11-15,2020-03-12,2020-06-13,NA,NA,NA,2020-07-11,6
Switzerland,2020-02-25,2020-03-01,2020-11-15,2020-02-25,2020-06-06,2020-03-17,2020-06-06,2020-06-06,2020-07-04,5
Ukraine,2020-03-03,2020-03-22,2020-11-15,2020-03-12,2020-06-22,2020-03-12,2020-06-22,2020-06-22,2020-07-20,6
United Kingdom,2020-01-31,2020-03-02,2020-11-15,2020-03-13,2020-11-10,2020-03-21,2020-05-13,2020-10-12,2020-06-10,6
